MotID;Heiti;Stadur;Upphafsdagur;Lokadagur;LidID;EinstID;Lysing;Timastimpill;ByrjaTimi;EndaTimi;MinuturALeik;Stigaregla;Stada;MaxHrinur;TwitterTag
34;28. Öldungamót BLÍ;Neskaupsstaður;2003-05-01 00:00:00.000;2003-05-03 00:00:00.000;406;588;Gleði, glaumur, gaman :-);2003-01-24 17:09:28.390;1899-12-30 07:20:00.000;1899-12-30 23:58:00.000;40;"BLÍ       ";L;3;NULL
35;Góumót Rima 2003;Ólafsfjörður;2003-03-15 00:00:00.000;2003-03-15 00:00:00.000;19;545;Trimmót fyrir fjörugt fólk á öllum aldri;2003-01-24 17:32:06.823;1899-12-30 10:00:00.000;1899-12-30 19:00:00.000;35;"BLÍ       ";O;3;NULL
36;Hraðmót Fylkis 2003;Fylkishöll;2003-04-12 00:00:00.000;2003-04-12 00:00:00.000;1034;1219;;2003-01-27 10:56:43.973;1899-12-30 09:00:00.000;1899-12-30 20:00:00.000;35;"BLÍ       ";L;2;NULL
37;Krækjumót 2003;Sauðárkrókur;2003-03-29 00:00:00.000;2003-03-29 00:00:00.000;154;567;;2003-01-29 15:20:07.583;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";F;3;NULL
38;Snæfellsbæjarmót 2003;Íþróttahús Snæfellsbæjar;2003-03-22 00:00:00.000;2003-03-22 00:00:00.000;108;506;Hraðmót;2003-01-31 17:12:06.343;1899-12-30 09:00:00.000;1899-12-30 19:00:00.000;35;"BLÍ       ";L;3;NULL
39;BLÍ Landshlutamót fyrir Austurland 2003;Neskaupstaður;2003-02-08 00:00:00.000;2003-02-08 00:00:00.000;406;185;;2003-02-07 16:51:58.840;1899-12-30 10:00:00.000;1899-12-30 19:00:00.000;40;"BLÍ       ";L;3;NULL
40;Íslandsmót BLÍ (yngri flokkar vor 2003);Mosfellsbær;2003-04-12 00:00:00.000;2003-04-13 00:00:00.000;1176;265;;2003-02-26 10:47:18.043;1899-12-30 09:45:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";L;2;NULL
41;Bikarmót BLÍ 2003;;2003-03-02 00:00:00.000;2003-05-01 00:00:00.000;95;1217;;2003-03-13 10:28:47.640;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";F;3;NULL
42;Krakkablak KA 2003;KA heimilið Akureyri;2003-04-27 00:00:00.000;2003-04-27 00:00:00.000;1032;678;;2003-04-25 17:09:56.670;1899-12-30 11:30:00.000;1899-12-30 14:30:00.000;15;"BLÍ       ";L;3;NULL
43;Búnaðarbankamót Snæfells 2003;Stykkishólmur;2003-11-15 00:00:00.000;2003-11-15 00:00:00.000;114;342;Opið mót;2003-09-12 08:53:16.030;1899-12-30 09:00:00.000;1899-12-30 18:00:00.000;30;"BLÍ       ";G;2;NULL
44;Haustmót KA 2003;KA heimilið Akureyri;2003-11-28 00:00:00.000;2003-11-29 00:00:00.000;1032;678;Hraðmót KA;2003-09-12 15:39:11.920;1899-12-30 08:00:00.000;1899-12-30 23:45:00.000;35;"BLÍ       ";G;3;NULL
45;Haustmót BLÍ 2003;Austurberg;2003-10-05 00:00:00.000;2003-10-05 00:00:00.000;1256;751;;2003-09-26 11:41:11.187;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;35;"BLÍ       ";L;3;NULL
46;Íslandsmót BLÍ 2003-2004;;2003-10-01 00:00:00.000;2004-05-01 00:00:00.000;1008;16;;2003-09-27 15:12:37.873;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";G;5;NULL
47;Krækjumót 2004;Sauðárkrókur;2004-03-27 00:00:00.000;2004-03-27 00:00:00.000;154;223;Dagsmót;2003-11-20 08:07:08.217;1899-12-30 11:00:00.000;1899-12-30 00:00:00.000;45;"BLÍ       ";O;3;NULL
48;HK-Trimm 2004;Digranes;2004-01-02 00:00:00.000;2004-01-04 00:00:00.000;691;157;;2003-12-05 08:19:28.140;1899-12-30 10:00:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";L;3;NULL
