LidID;Nafn;Radnumer;LidaTegundID;SyndarLid;Timastimpill;SyndarlidID
3112;"F1                                      ";NULL;21;1;2007-10-12 10:48:48.467;3112
3113;"F2                                      ";NULL;21;1;2007-10-12 10:48:48.483;3113
3132;Vík-Reynir 3.fl. pilta;NULL;21;0;2007-10-12 11:17:32.360;NULL
3179;Huginn;NULL;39;0;2007-11-10 14:20:56.110;NULL
3180;Huginn;NULL;38;0;2007-11-13 23:24:09.450;NULL
3181;Óðinn-Skautar;NULL;24;0;2007-11-15 20:44:58.687;NULL
3182;Feðgar;NULL;38;0;2007-11-21 12:46:27.437;NULL
3183;ÍFL;NULL;34;0;2007-11-22 08:49:27.983;NULL
3196;Eyða;k;39;0;2007-11-22 10:33:10.123;NULL
3209;Turnarnir;NULL;34;0;2007-11-22 12:25:53.170;NULL
3226;Stjarnan;NULL;32;0;2007-12-06 00:15:09.700;NULL
3227;Stjarnan;NULL;33;0;2007-12-06 00:18:30.153;NULL
3228;Fylkir - byrjendalið;NULL;39;0;2007-12-06 01:04:09.233;NULL
3229;Jólapúkar;NULL;39;0;2007-12-08 10:48:49.060;NULL
3230;Stjarnan piltar;NULL;21;0;2007-12-08 11:49:21.030;NULL
3231;Stjarnan stúlkur;NULL;21;0;2007-12-08 11:52:04.420;NULL
3232;Afturelding piltar;NULL;20;0;2007-12-08 12:09:08.717;NULL
3236;Aftuelding 3.fl.pilta;NULL;38;0;2008-01-09 22:14:22.920;NULL
3237;ÍS;NULL;20;0;2008-01-10 10:52:09.360;NULL
3238;Óðinn-Skautar;NULL;38;0;2008-01-10 11:34:53.250;NULL
3239;ÍFL stelpur;NULL;35;0;2008-01-10 11:56:42.420;NULL
3240;HK A - 3.fl.kvk;NULL;33;0;2008-01-10 15:01:12.060;NULL
3241;HK B - 3.fl.kvk;NULL;33;0;2008-01-10 15:03:10.983;NULL
3242;Stjarnan 3.fl.pilta;NULL;21;0;2008-01-10 19:31:20.500;NULL
3243;Stjarnan 3.fl.stúlkna;NULL;21;0;2008-01-10 19:34:04.717;NULL
3244;Víkingur/Reynir 3.fl.stúlkna;NULL;21;0;2008-01-10 19:43:29.090;NULL
3245;Þróttur R 2.fl. stúlkna;NULL;21;0;2008-01-10 19:45:26.500;NULL
3248;Stjarnan;NULL;21;0;2008-01-10 20:21:21.483;NULL
3258;Óðinn/Skautar 1;NULL;38;0;2008-01-23 20:57:36.590;NULL
3259;Óðinn/Skautar 2;NULL;38;0;2008-01-23 20:59:22.280;NULL
3260;KA +;NULL;38;0;2008-01-24 11:46:24.030;NULL
3261;Laugdælur;NULL;21;0;2008-02-13 16:06:28.390;NULL
3262;HK;NULL;20;0;2008-02-18 12:20:47.700;NULL
3280;HK-Víkingur;NULL;21;0;2008-02-27 20:43:21.263;NULL
3297;Massablak;NULL;20;0;2008-02-29 17:33:46.250;NULL
3298;HK Utd 1;NULL;21;0;2008-03-18 16:28:39.403;NULL
3299;HK Utd 2;NULL;21;0;2008-03-18 16:32:44.153;NULL
3300;Skellur B;NULL;21;0;2008-03-25 23:42:14.717;NULL
3301;Skellur karlar;NULL;20;0;2008-03-25 23:47:03.107;NULL
3302;Lansinn a;NULL;21;0;2008-03-27 08:53:19.123;NULL
3303;HSÞ;NULL;20;0;2008-03-31 14:18:10.187;NULL
3304;HSÞ - UNÞ;NULL;20;0;2008-03-31 14:19:04.233;NULL
3305;HSÞ - Snörtur;NULL;20;0;2008-03-31 14:21:11.187;NULL
3306;KA-Freyjur A;NULL;39;0;2008-03-31 17:52:34.623;NULL
3425;U19 Ísland;NULL;50;0;2008-08-30 14:09:06.043;NULL
3426;U19 Ísland;NULL;51;0;2008-08-30 14:11:13.123;NULL
3427;U19 Denmark;NULL;50;0;2008-08-30 14:12:43.903;NULL
3428;U19 Denmark;NULL;51;0;2008-08-30 14:13:54.497;NULL
3429;U19 Norge;NULL;50;0;2008-08-30 14:15:26.497;NULL
3430;U19 Norge;NULL;51;0;2008-08-30 14:16:08.700;NULL
3431;U19 Sverige;NULL;50;0;2008-08-30 14:21:21.233;NULL
3432;U19 Sverige;NULL;51;0;2008-08-30 14:22:05.670;NULL
3433;U19 England;NULL;50;0;2008-08-30 14:23:59.250;NULL
3434;U19 England;NULL;51;0;2008-08-30 14:24:32.217;NULL
3435;U19 Föroyar;NULL;51;0;2008-08-30 14:27:03.200;NULL
3436;HK Ungar;NULL;39;0;2008-09-23 14:46:58.543;NULL
3437;HK Síungar;NULL;39;0;2008-09-23 14:49:30.483;NULL
3440;Skotta Vopnafirði;NULL;39;0;2008-09-27 00:53:41.497;NULL
3441;Óðinn/Skautar;NULL;38;0;2008-10-14 23:24:55.640;NULL
3442;Fylkir C;NULL;39;0;2008-11-03 14:57:02.343;NULL
3443;Álftanes C - byrjendur;NULL;39;0;2008-11-03 15:35:29.297;NULL
3444;Afturelding 5;NULL;21;0;2008-11-04 20:43:16.327;NULL
3445;Fylkir D;NULL;39;0;2008-11-05 15:06:54.153;NULL
3446;HK utd. - 1;NULL;39;0;2008-11-12 14:02:55.733;NULL
3449;Team Unicorn;NULL;48;0;2008-11-17 22:50:58.857;NULL
3450;Aumingjarnir;NULL;38;0;2008-11-18 17:05:26.640;NULL
3451;KA-Freyjur B;NULL;39;0;2008-11-19 15:11:42.077;NULL
3452;KA stelpur;NULL;39;0;2008-11-19 18:27:49.890;NULL
3453;KA guttar;NULL;38;0;2008-11-19 23:07:59.983;NULL
3500;Verkís;NULL;20;0;2008-11-24 14:23:29.483;NULL
